Trial_#,Date,Start_Time,Start_Date_Time,End_Time,End_Date_Time,flow (mL/min),Jar (g),Jar_wet_salt,Jar_dry_salt,salt (g),water (g),wt % water
3,45334,0.628472222,12-02-2024 15:05,0.635416667,12-02-2024 15:15,N/A,305.93,353.97,352.9,46.97,1.07,0.022273106
4,45334,0.665972222,12-02-2024 15:59,0.670138889,12-02-2024 16:05,178,280.4,306.95,306.33,25.93,0.62,0.023352166
5,45334,0.675,12-02-2024 16:12,0.679166667,12-02-2024 16:18,125,437.04,488.15,486.29,49.25,1.86,0.036392095
6,45334,0.681944444,12-02-2024 16:22,0.686111111,12-02-2024 16:28,80,281.6,322.83,321.99,40.39,0.84,0.020373514
7,45334,0.690972222,12-02-2024 16:35,0.695138889,12-02-2024 16:41,230,426.9,450.02,446.26,19.36,3.76,0.162629758
8,45334,0.697222222,12-02-2024 16:44,0.702083333,12-02-2024 16:51,150,436.6,460.11,457.68,21.08,2.43,0.103360272
10,45344,0.628472222,22-02-2024 15:05,0.633333333,22-02-2024 15:12,289.5,280.07,299.16,297.66,17.59,1.5,0.07857517
11,45344,0.634027778,22-02-2024 15:13,0.638888889,22-02-2024 15:20,289.5,280.36,306.8,304.83,24.47,1.97,0.074508321
12,45344,0.644444444,22-02-2024 15:28,0.65,22-02-2024 15:36,289.5,305.83,329.49,326.84,21.01,2.65,0.112003381
14,45344,0.657638889,22-02-2024 15:47,0.661805556,22-02-2024 15:53,289.5,281.81,304.17,301.89,20.08,2.28,0.1019678
15,45344,0.661805556,22-02-2024 15:53,0.666666667,22-02-2024 16:00,289.5,281.35,292.7,291.6,10.25,1.1,0.0969163
16,45344,0.666666667,22-02-2024 16:00,0.670833333,22-02-2024 16:06,289.5,280.4,312.08,310.11,29.71,1.97,0.062184343
18,45344,0.68125,22-02-2024 16:21,0.689583333,22-02-2024 16:33,289.5,281.63,306.22,304.55,22.92,1.67,0.067913786
19,45344,0.689583333,22-02-2024 16:33,0.693055556,22-02-2024 16:38,289.5,282.22,298.58,296.87,14.65,1.71,0.104523227
20,45344,0.696527778,22-02-2024 16:43,0.7,22-02-2024 16:48,289.5,426.85,447.35,444.37,17.52,2.98,0.145365854
21,45351,0.622222222,29-02-2024 14:56,0.628472222,29-02-2024 15:05,289.5,281.95,300.13,299.04,17.09,1.09,0.059955996
22,45351,0.632638889,29-02-2024 15:11,0.679166667,29-02-2024 16:18,289.5,427.14,479.29,477.41,50.27,1.88,0.036049856
23,45351,0.6375,29-02-2024 15:18,0.642361111,29-02-2024 15:25,289.5,436.95,478.81,475.5,38.55,3.31,0.079073101
24,45351,0.641666667,29-02-2024 15:24,0.65,29-02-2024 15:36,245,305.92,342.15,340.69,34.77,1.46,0.040298096
25,45351,0.650694444,29-02-2024 15:37,0.655555556,29-02-2024 15:44,245,282.28,333.69,332,49.72,1.69,0.032872982
26,45351,0.65625,29-02-2024 15:45,0.661111111,29-02-2024 15:52,245,281.68,325.92,324.48,42.8,1.44,0.032549729
27,45351,0.663194444,29-02-2024 15:55,0.668055556,29-02-2024 16:02,245,280.44,309.95,309.72,29.28,0.23,0.007793968
28,45351,0.66875,29-02-2024 16:03,0.673611111,29-02-2024 16:10,245,281.42,332.85,332.01,50.59,0.84,0.01633288
29,45351,0.674305556,29-02-2024 16:11,0.679166667,29-02-2024 16:18,245,280.14,318.11,316.81,36.67,1.3,0.034237556
